1788085390394202058,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.31 W, 34, 1100.00 W
1788085390626407022,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.31 W, 34, 1100.00 W
1788085390860697167,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.31 W, 34, 1100.00 W
1788085391096101793,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.31 W, 34, 1100.00 W
1788085391329511896,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.32 W, 34, 1100.00 W
1788085391565381809,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.48 W, 34, 1100.00 W
1788085392045913055,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.21 W, 34, 1100.00 W
1788085392275784161,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.44 W, 34, 1100.00 W
1788085392508399113,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.51 W, 34, 1100.00 W
1788085392736213447,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.45 W, 34, 1100.00 W
1788085392964777565,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.27 W, 34, 1100.00 W
1788085393192667100,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.39 W, 34, 1100.00 W
1788085393419219796,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.24 W, 34, 1100.00 W
1788085393649707178,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 193.61 W, 35, 1100.00 W
1788085393875584161,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 207.29 W, 35, 1100.00 W
1788085394100838619,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 221.82 W, 35, 1100.00 W
1788085394324826119,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 235.35 W, 35, 1100.00 W
1788085394548619180,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 246.85 W, 35, 1100.00 W
1788085394778756056,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.15 W, 35, 1100.00 W
1788085395005161125,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 246.92 W, 35, 1100.00 W
