q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8	4096	fp8	16	64	4	128	0.0348	0.0002	493.0259	2017.8823	25.2235	-83.9794
8	4096	fp8	16	64	4	128	0.0656	0.0009	131.0080	559.7267	6.9966	1.1230
