H,samples_per_path,baseline_p50_ms,vshard2_p2_p50_ms,vshard4_p1_p50_ms,vshard4_p2_p50_ms,vshard2_p2_over_vshard4_p2_p50_x,vshard4_p2_faster_than_vshard2_p2,vshard2_p2_p95_ms,vshard4_p2_p95_ms,vshard2_p2_p99_ms,vshard4_p2_p99_ms,extension_sha256,source_json,source_json_sha256
12,500,0.8114879727363586,0.6093440055847168,0.605648010969162,0.5428479909896851,1.1224947235667218,True,0.6142751991748809,0.5479216128587723,0.6190428924560547,0.5517494243383407,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h12_bf16_cyclic.json,91eee73029b2a6cb2d7765c8c7b2cc07e7f76eb34ed7227ca41da41e0e6db659
13,500,0.8025599718093872,0.597599983215332,0.5953759849071503,0.5320640206336975,1.1231730769984787,True,0.6134495794773102,0.5471072018146514,0.6186610996723175,0.5554326152801513,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h13_bf16_cyclic.json,722c2c219ec7bb40374e571affda488969a9daed2cbb08e6c9b625799a86a772
14,500,0.8049120008945465,0.6007360219955444,0.5980160236358643,0.5347200036048889,1.1234590401436255,True,0.6127039730548859,0.5474240183830261,0.6180512124300003,0.5531036895513535,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h14_bf16_cyclic.json,89ef68e0c2e124dbb8002a69d6d2b79f3f2de1ecdb0b5ef0be25fdeaacd39db7
15,500,0.8080639839172363,0.6035199761390686,0.6012160181999207,0.5376960039138794,1.1224185631770698,True,0.6180832177400589,0.5500816017389297,0.624591652750969,0.5556185811758041,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h15_bf16_cyclic.json,8c58778ae29a186b6ff94a7f972a30018f117d2f0130110ce33c38809ff8e4dd
16,500,0.8106240034103394,0.6057279706001282,0.6035199761390686,0.5399680137634277,1.1217849116253604,True,0.6090335875749588,0.5433631956577301,0.6211907112598419,0.5547900801897049,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h16_bf16_cyclic.json,5295324d0caf140c651f5f4b6d503d4bd9c9b274c141ff3b9734b638cade8a50
17,500,0.8135199844837189,0.6101440191268921,0.6064800024032593,0.5429120063781738,1.123835929135608,True,0.6126096159219742,0.5461440086364746,0.6197462427616119,0.5530889689922333,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h17_bf16_cyclic.json,3a946ed9922a6c79786e43fbbafa319276534e9c31a1e1c26d6a5a00be3af5c3
18,500,0.8165119886398315,0.6115840077400208,0.6093440055847168,0.5457280278205872,1.120675458400836,True,0.6217631965875626,0.5567423939704895,0.630079984664917,0.5605795413255692,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h18_bf16_cyclic.json,7792c336c2b4759b50c262d8fce9e643fb4b469dff76abfa8fcbe442aef354f7
19,500,0.8192319869995117,0.614080011844635,0.6120319962501526,0.5484480261802673,1.1196685602489438,True,0.6164319783449173,0.5517775923013687,0.6222470468282699,0.5560969769954681,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h19_bf16_cyclic.json,d3a6b654ed244384e848880307d0db8c2bc7bc00dbde864440440585bd382a40
20,500,0.8218240141868591,0.6172319948673248,0.6149919927120209,0.5509120225906372,1.120382147343275,True,0.628579181432724,0.5618368238210678,0.6324841850996017,0.57216672539711,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h20_bf16_cyclic.json,c628fba9df9095df1f15dd35f2e8d8bbd9f61e2e26dfb2cb92c7b3c262cfeca7
21,500,0.8249599933624268,0.6217920184135437,0.6177279949188232,0.5541120171546936,1.122141370631844,True,0.6254255950450898,0.5581983834505081,0.6343091070652008,0.5690883022546768,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h21_bf16_cyclic.json,26bfbd7692f6805754db3a42525088099f6cc7277440b067107151ec3c33b024
