2026/08/29 15:17:30.234, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.57 W, 83 %, 0 %, 35
2026/08/29 15:17:30.434, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.61 W, 83 %, 0 %, 35
2026/08/29 15:17:30.634, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.57 W, 82 %, 0 %, 35
2026/08/29 15:17:30.834, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.64 W, 82 %, 0 %, 35
2026/08/29 15:17:31.034, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 209.36 W, 14 %, 2 %, 36
2026/08/29 15:17:31.234, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 221.53 W, 100 %, 3 %, 36
2026/08/29 15:17:31.434, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 233.78 W, 97 %, 3 %, 36
2026/08/29 15:17:31.634, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 244.42 W, 95 %, 3 %, 36
2026/08/29 15:17:31.834, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 256.80 W, 95 %, 3 %, 36
2026/08/29 15:17:32.035, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 261.81 W, 95 %, 3 %, 36
2026/08/29 15:17:32.235, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.76 W, 95 %, 3 %, 36
2026/08/29 15:17:32.435, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.70 W, 95 %, 3 %, 36
2026/08/29 15:17:32.635, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.92 W, 95 %, 3 %, 36
2026/08/29 15:17:32.835, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.86 W, 95 %, 3 %, 36
2026/08/29 15:17:33.035, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.67 W, 95 %, 3 %, 36
2026/08/29 15:17:33.235, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.72 W, 95 %, 3 %, 36
2026/08/29 15:17:33.435, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.51 W, 95 %, 3 %, 36
2026/08/29 15:17:33.635, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.37 W, 95 %, 3 %, 36
2026/08/29 15:17:33.835, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.02 W, 95 %, 3 %, 36
2026/08/29 15:17:34.035, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 259.95 W, 95 %, 3 %, 36
2026/08/29 15:17:34.235, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.14 W, 95 %, 3 %, 36
2026/08/29 15:17:34.436, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.16 W, 95 %, 3 %, 36
2026/08/29 15:17:34.636, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.48 W, 95 %, 3 %, 36
2026/08/29 15:17:34.836, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.49 W, 95 %, 3 %, 36
2026/08/29 15:17:35.036, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.59 W, 95 %, 3 %, 36
2026/08/29 15:17:35.236, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.38 W, 84 %, 3 %, 36
2026/08/29 15:17:35.436, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.85 W, 100 %, 3 %, 36
2026/08/29 15:17:35.636, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.68 W, 95 %, 3 %, 36
2026/08/29 15:17:35.836, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.53 W, 95 %, 3 %, 36
2026/08/29 15:17:36.036, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.57 W, 95 %, 3 %, 36
2026/08/29 15:17:36.236, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.78 W, 95 %, 3 %, 36
2026/08/29 15:17:36.436, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.37 W, 95 %, 3 %, 36
2026/08/29 15:17:36.636, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.51 W, 95 %, 3 %, 36
2026/08/29 15:17:36.837, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.47 W, 95 %, 3 %, 36
2026/08/29 15:17:37.037, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.72 W, 95 %, 3 %, 36
2026/08/29 15:17:37.237, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.59 W, 95 %, 3 %, 36
2026/08/29 15:17:37.437, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.81 W, 95 %, 3 %, 36
2026/08/29 15:17:37.637, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.69 W, 95 %, 3 %, 37
2026/08/29 15:17:37.837, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.63 W, 95 %, 3 %, 37
2026/08/29 15:17:38.037, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.34 W, 95 %, 3 %, 37
2026/08/29 15:17:38.237, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.47 W, 95 %, 3 %, 37
2026/08/29 15:17:38.437, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.10 W, 95 %, 3 %, 37
2026/08/29 15:17:38.637, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.25 W, 95 %, 3 %, 37
2026/08/29 15:17:38.837, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.24 W, 95 %, 3 %, 37
2026/08/29 15:17:39.037, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 260.63 W, 95 %, 3 %, 37
2026/08/29 15:17:39.237, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 259.71 W, 95 %, 3 %, 37
2026/08/29 15:17:39.438, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 248.41 W, 0 %, 0 %, 36
2026/08/29 15:17:39.638, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 236.72 W, 0 %, 0 %, 36
2026/08/29 15:17:39.838, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 224.60 W, 0 %, 0 %, 36
2026/08/29 15:17:40.038, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 213.57 W, 0 %, 0 %, 36
2026/08/29 15:17:40.238, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.75 W, 0 %, 0 %, 36
