1788083943792741249,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.87 W, 38, 1100.00 W
1788083944019266325,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 378.98 W, 38, 1100.00 W
1788083944242176029,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.15 W, 38, 1100.00 W
1788083944465142125,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.52 W, 38, 1100.00 W
1788083944687531801,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.32 W, 38, 1100.00 W
1788083944912812544,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.53 W, 39, 1100.00 W
1788083945135930697,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.45 W, 39, 1100.00 W
1788083945365463337,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.82 W, 39, 1100.00 W
1788083945589874274,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.78 W, 39, 1100.00 W
1788083945813000057,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.95 W, 39, 1100.00 W
1788083946035270794,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.96 W, 39, 1100.00 W
1788083946263498890,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.79 W, 39, 1100.00 W
1788083946486108465,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.89 W, 39, 1100.00 W
1788083946708472392,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.89 W, 39, 1100.00 W
1788083946930650310,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.73 W, 39, 1100.00 W
1788083947153764892,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.95 W, 39, 1100.00 W
1788083947380804504,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.11 W, 39, 1100.00 W
1788083947604578862,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.31 W, 39, 1100.00 W
1788083947830777509,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 365.35 W, 38, 1100.00 W
1788083948053046655,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 334.23 W, 37, 1100.00 W
1788083948274570665,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 303.96 W, 37, 1100.00 W
1788083948495393678,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 274.77 W, 37, 1100.00 W
1788083948715813184,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 248.23 W, 37, 1100.00 W
1788083948936943426,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 37, 1100.00 W
1788083949160935672,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083949388724589,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083949616111839,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083949841415039,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083950278056660,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2025 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083950506233295,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2025 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083950733579334,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2025 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788083950960735703,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 1035 MHz, 3996 MHz, 236.53 W, 36, 1100.00 W
